Gene,Tissue,Celltype,Subtype,Reference
Acsl1,Adrenal,Adipocyte,Adipocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910420/
Adipoq,Adrenal,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27
Pnpla2,Adrenal,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27
Pparg,Adrenal,Adipocyte,Adipocyte,https://www.frontiersin.org/articles/10.3389/fendo.2018.00473/full
Gli1,Adrenal,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/
Igfbp5,Adrenal,Capsule,Capsule,https://pubmed.ncbi.nlm.nih.gov/8828511/
Rspo1,Adrenal,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/
Wt1,Adrenal,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032791/
Cyp11a1,Adrenal,Cortex,Cortex,https://academic.oup.com/mend/article/16/8/1943/2741836
Cyp11b1,Adrenal,Cortex,Cortex,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279682
Nr5a1,Adrenal,Cortex,Cortex,https://pubmed.ncbi.nlm.nih.gov/12566727/
Cyp17a1,Adrenal,Cortex,Cortex_ZF,https://www.nature.com/articles/s41467-021-24870-7
Star,Adrenal,Cortex,Cortex_ZF,https://www.nature.com/articles/s41467-021-24870-7
Agtr1,Adrenal,Cortex,Cortex_ZG,https://www.nature.com/articles/s41467-021-24870-7
Cyp11b2,Adrenal,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/
Dab2,Adrenal,Cortex,Cortex_ZG,https://www.nature.com/articles/s41467-021-24870-7
Dach1,Adrenal,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/
Kcnj5,Adrenal,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/
Kcnk5,Adrenal,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/
Lrg5,Adrenal,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/
Ncam1,Adrenal,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/
Flt1,Adrenal,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27
Flt4,Adrenal,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27
Pecam1,Adrenal,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27
Tek,Adrenal,Endothelial,Endothelial,https://www.nature.com/articles/s41467-021-24870-7
Vwf,Adrenal,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27
