leiden,celltype,notes
0,Proximal_tubule,"Female-specific. Markers: Ghr, Aadat, Framd1b, Lrp2, Slc7a12, Slc6a18, Slc27a2, Napsa, Xist"
1,Proximal_tubule,Male-specific
2,Thick_ascending_limb,"Umod+, Slc12a1+, Enox1+"
3,Endothelial,"Flt1+, Kdr-specific"
4,Proximal_tubule,
5,Thick_ascending_limb,"Umod+, Slc12a1+, Enox1+"
6,Distal_convoluted_tubule,
7,Proximal_tubule,"Female-specific. Markers: Ghr, Aadat, Framd1b, Lrp2, Slc7a12, Slc6a18, Slc27a2, Napsa, Xist"
8,Proximal_tubule,Male-specific
9,Fibroblast,"Pdgfra+, Pdgfrb+. Markers: Zeb2, Lbd2, Pde3a, Cald1, Cfn, Lama2, Sox5, Meis2"
10,Fibroblast,"Doublet-high. Igfbp7, Cald1,  many same as 9"
11,Proximal_tubule,
12,Endothelial,Flt1+
13,Principal_cell,
14,Thin_limb,"Has all genos and sexes. Specific markers: Myo9a, Cobll1, Sema5a, Sorcs3, Pax2"
15,Connecting_tubule,
16,Intercalated_cell_B,"Atp6v0d2+, Atp6v1c2+, Slc26a4+"
17,Immune,Cd74+
18,Intercalated_cell_A,"Atp6v0d2+, Atp6v1c2+, Adgrf5+, Slc4a1+"
19,Proximal_tubule,Male-specific CAST
20,Proximal_tubule,Male-specific CAST
21,Proximal_tubule,
22,Proximal_tubule,WSBJ
23,Smooth_muscle,"Myh11+, Pdgfrb+. Also contains Juxtaglomerular Ren1+ cells"
24,Low-quality,"Doublet-high, male-only"
25,Thick_ascending_limb,
26,Endothelial,Flt1+
27,Low-quality,
28,Low-quality,Seems like doublet because no specific markers
29,Principal_cell,
30,Proximal_tubule,
31,Podocyte,"Wt1+, Nphs1+, Nphs2+"
32,Proximal_tubule,WSBJ
33,Proximal_tubule,Female-specific PWK
34,Low-quality,Seems like doublet because no specific markers
35,Fibroblast,Pdgfra+
36,Low-quality,CASTJ
37,Podocyte,"Wt1+, Nphs1+, Nphs2+"
38,Damage_associated_proximal_tubule,"Has all genos and sexes. Specific markers: Ncam1, Cp, Col18a1. Cp is renal corpsucle marker in Ransick et al 2019"
39,Myofibroblast,"Specific markers: Zfpm2, Gpc6, Adamts2"
40,Low-quality,"PWKJ, but doublet-high"
41,Thick_ascending_limb,"PWKJ. Umod+, Slc12a1+, Enox1+"
42,Proximal_tubule,Male-specific AJ
43,Thin_limb,"Prox1+ but Flt1-. Ascendng thin limb? Specific markers: Atp10b, Srgap3, Megf9, Ndrg4,  Ccdc3, Uaca, Pdgfa"
44,Adipocyte,"Adipoq+, Pnpla2+"
45,Principal_cell,
46,Distal_convoluted_tubule,
47,Proximal_tubule,Female-specific PWKJ
48,Proximal_tubule,Male-specific WSBJ
49,Proximal_tubule,Female-specific CASTJ
50,Thin_limb,
