leiden_R,subtype,CL_ID,celltype,general_CL_ID,general_celltype,notes
0,male-only type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
1,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
2,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,
3,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
4,type I cell of adrenal cortex,CL:0002099,type I cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
5,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,
6,low quality,NA,low quality,NA,low quality,
7,type II cell of adrenal medulla,CL:0002082,type II cell of adrenal medulla,CL:0000336,adrenal medulla chromaffin cell,
8,stromal cell,CL:0000499,stromal cell,CL:0000499,stromal cell,
9,low quality,NA,low quality,NA,low quality,
10-11_0,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_1,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_2,male-only type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_3,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_4,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_5,type I cell of adrenal cortex,CL:0002099,type I cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_6,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_7,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_8,x-zone type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_9,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_10,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
10-11_11,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
12,low quality,NA,low quality,NA,low quality,
13,x-zone type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
14,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,
15,low quality,NA,low quality,NA,low quality,
16,fat cell,CL:0000136,fat cell,CL:0000136,fat cell,
17,type I cell of adrenal medulla,CL:0002083,type I cell of adrenal medulla,CL:0000336,adrenal medulla chromaffin cell,
18,macrophage,CL:0000235,macrophage,CL:0000738,leukocyte,
19,male-only type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
20,low quality,NA,low quality,NA,low quality,
21,type I cell of adrenal cortex,CL:0002099,type I cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
22,low quality,NA,low quality,NA,low quality,
23,low quality,NA,low quality,NA,low quality,
24,low quality,NA,low quality,NA,low quality,
25,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
26,Sox10+ progenitor cell,CL:0011026,progenitor cell,CL:0011026,progenitor cell,
27,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,
28,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
29,low quality,NA,low quality,NA,low quality,
30,x-zone type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
31,cycling,NA,cycling,NA,cycling,
32,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,
33,type I cell of adrenal medulla,CL:0002083,type I cell of adrenal medulla,CL:0000336,adrenal medulla chromaffin cell,
34,type II cell of adrenal medulla,CL:0002082,type II cell of adrenal medulla,CL:0000336,adrenal medulla chromaffin cell,
35,low quality,NA,low quality,NA,low quality,
36,type II cell of adrenal cortex,CL:0002136,type II cell of adrenal cortex,CL:0002097,cortical cell of adrenal gland,
37,hepatoblast,CL:0005026,hepatoblast,CL:0005026,hepatoblast,
