leiden,subtype,CL_ID,celltype,general_CL_ID,general_celltype,notes
0,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
1,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
2,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
3,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
4,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
5,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
6,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
7,type IIa muscle cell,CL:0002214,type IIa muscle cell,CL:0000188,skeletal muscle cell,Myh2+
8,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
9,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
10,type IIx muscle cell,CL:0002212,type II muscle cell,CL:0000188,skeletal muscle cell,Myh1+
11,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,"Pdgfra+, Cd34+"
12,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
13,myotendinous junction cell,CL:0000188,skeletal muscle cell,CL:0000188,skeletal muscle cell,Col22a1+
14,type I muscle cell,CL:0002211,type I muscle cell,CL:0000188,skeletal muscle cell,Myh7+
15,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,"Flt1+, Pecam1+"
16,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+. Mito-high
17,type IIx muscle cell,CL:0002212,type II muscle cell,CL:0000188,skeletal muscle cell,Myh1+
18,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
19,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
20,type IIb muscle cell,CL:0002215,type IIb muscle cell,CL:0000188,skeletal muscle cell,Myh4+
21,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,"Pdgfra+, Cd34+"
22,type IIx muscle cell,CL:0002212,type II muscle cell,CL:0000188,skeletal muscle cell,Myh1+
23,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,Myh11+
24,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,"Flt1+, Pecam1+"
25,neuromuscular junction cell,CL:0000188,skeletal muscle cell,CL:0000188,skeletal muscle cell,Etv5+
26,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,"Pdgfra+, Cd34+"
27,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,Myh11+
28,tendon cell,CL:0000388,tendon cell,CL:0000388,tendon cell,Dcn+
29,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,"Flt1+, Pecam1+"
30,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,"Flt1+, Pecam1+"
31,macrophage,CL:0000235,macrophage,CL:0000738,leukocyte,"F13a1+, Ikzf1+"
32,type IIa muscle cell,CL:0002214,type IIa muscle cell,CL:0000188,skeletal muscle cell,Myh2+
33,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,CL:0000188,skeletal muscle cell,Pax7+
34,low quality,NA,low quality,NA,low quality,"Slc12a1+, Akr1c21+"
35,myelinating Schwann cell,CL:0000218,myelinating Schwann cell,CL:0002573,Schwann cell,"Mpz+, Pmp22+, Prx+...myelinating Schwann https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9060899/"
36,low quality,NA,low quality,NA,low quality,Snap25+
37,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,Bnc2+  https://pubmed.ncbi.nlm.nih.gov/36088459/
38,type IIx muscle cell,CL:0002212,type II muscle cell,CL:0000188,skeletal muscle cell,Myh1+
39,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,"Flt1+, Pecam1+"
40,fat cell,CL:0000136,fat cell,CL:0000136,fat cell,Acsl1+
41,non-myelinating Schwann cell,CL:0002376,non-myelinating Schwann cell,CL:0002573,Schwann cell,"Scn7a+, Ncam1+, Slc35f1+…nonmyelinating Schwann https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9060899/"
42,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,CL:0009099,fibro/adipogenic progenitor cell,"Pdgfra+, Cd34+"
43,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0000115,endothelial cell,Prox1+
44,neuromuscular junction cell,CL:0000188,skeletal muscle cell,CL:0000188,skeletal muscle cell,Etv5+
