leiden_R,subtype,CL_ID,celltype,general_CL_ID,general_celltype,notes
0,Leydig cell,CL:0000178,Leydig cell,CL:0000151,secretory cell,Cyp17a1+
1,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
2,principal cell corpus,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,"Defb15+,Lcn12+,Lcn5+,Rnase9+,Wfdc8+"
3,sperm,CL:0000019,sperm,CL:0000586,germ cell,
4,Sertoli cell,CL:0000216,Sertoli cell,CL:0000151,secretory cell,"Wt1+, Sox9+"
5,stromal cell,CL:0000499,stromal cell,CL:0000499,stromal cell,
6,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
7,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
8,Sertoli cell,CL:0000216,Sertoli cell,CL:0000151,secretory cell,"Wt1+, Sox9+"
9,principal cell cauda,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,
10,Sertoli cell,CL:0000216,Sertoli cell,CL:0000151,secretory cell,"Wt1+, Sox9+"
11,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,
12_0,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
12_1,sperm,CL:0000019,sperm,CL:0000586,germ cell,
13,principal cell cauda,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,"Spink14+, Smarca1+"
14,basal cell,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,"Krt5+,CLdn1+,Ptgs1+ (barely)"
15,spermatocyte,CL:0000017,spermatocyte,CL:0000586,germ cell,
16,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
17,Sertoli cell,CL:0000216,Sertoli cell,CL:0000151,secretory cell,"Wt1+, Sox9+"
18,principal cell caput,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,"Lcn8+,Etv5+, Defb20+,Lcn6+,Defb48+"
19,spermatogonium,CL:0000020,spermatogonium,CL:0000586,germ cell,
20,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
21,spermatocyte,CL:0000017,spermatocyte,CL:0000586,germ cell,
22,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,Flt1+
23,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
24,principal cell corpus,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,"Defb20+,Lcn6+"
25,macrophage,CL:0000235,macrophage,CL:0000738,leukocyte,F13a1+
26,principal cell caput,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,"Lcn8+,Etv5+, Defb20+,Lcn6+"
27,principal cell corpus,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,
28,sperm,CL:0000019,sperm,CL:0000586,germ cell,
29,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,
30,Sertoli cell,CL:0000216,Sertoli cell,CL:0000151,secretory cell,"Wt1+, Sox9+"
31,stromal cell,CL:0000499,stromal cell,CL:0000499,stromal cell,
32,clear cell,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,Atp6v1e1+
33,spermatid,CL:0000018,spermatid,CL:0000586,germ cell,
34,Leydig cell,CL:0000178,Leydig cell,CL:0000151,secretory cell,
35,unknown,NA,unknown,NA,unknown,"Muc16, Gpm6a, Flrt2, Efemp1, Col3a1, Plxna4, Cdh11, Pkhd1l1, Igfbp5, C3, Il16"
36,efferent duct cell,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,
37,principal cell cauda,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,
38,principal cell corpus,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,
39,spermatocyte,CL:0000017,spermatocyte,CL:0000586,germ cell,
40,fat cell,CL:0000136,fat cell,CL:0000136,fat cell,
41,spermatocyte,CL:0000017,spermatocyte,CL:0000586,germ cell,
42,basal cell,CL:1001590,epididymis glandular cell,CL:1001590,epididymis glandular cell,
