fastq	fastq_r2	subpool	sample	plate	lane	run	platform	droplets_included	learning_rate	expected_cells
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L001_R2_001.fastq.gz	Subpool_UDI02	S1	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L002_R2_001.fastq.gz	Subpool_UDI02	S1	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L003_R2_001.fastq.gz	Subpool_UDI02	S1	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_2_S1_L004_R2_001.fastq.gz	Subpool_UDI02	S1	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L001_R2_001.fastq.gz	Subpool_UDI03	S2	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L002_R2_001.fastq.gz	Subpool_UDI03	S2	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L003_R2_001.fastq.gz	Subpool_UDI03	S2	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_3_S2_L004_R2_001.fastq.gz	Subpool_UDI03	S2	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_4_S3_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_4_S3_L001_R2_001.fastq.gz	Subpool_UDI04	S3	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_4_S3_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_4_S3_L002_R2_001.fastq.gz	Subpool_UDI04	S3	igvf_013	L002	1	nova	200000	0.00005	67000
