fastq	fastq_r2	subpool	plate	lane	run	droplets_included	learning_rate	expected_cells
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L002_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L002	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L003_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L003	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L004_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L004	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L005_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L005_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L005	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L006_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L006_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L006	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L007_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L007_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L007	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L008_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L008_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L008	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_1_S1_L008_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_1_S1_L008_R2_001.fastq.gz	Subpool_UDI41	igvf_019	L008	2	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L002_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L002	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L003_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L003	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L004_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L004	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L005_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L005_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L005	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L006_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L006_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L006	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L007_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L007_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L007	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L008_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L008_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L008	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_2_S2_L008_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_2_S2_L008_R2_001.fastq.gz	Subpool_UDI42	igvf_019	L008	2	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L002_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L002	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L003_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L003	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L004_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L004	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L005_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L005_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L005	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L006_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L006_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L006	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L007_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L007_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L007	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L008_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L008_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L008	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_3_S3_L008_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_3_S3_L008_R2_001.fastq.gz	Subpool_UDI43	igvf_019	L008	2	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L002_R2_001.fastq.gz	Subpool_UDI44	igvf_019	L002	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L003_R2_001.fastq.gz	Subpool_UDI44	igvf_019	L003	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L004_R2_001.fastq.gz	Subpool_UDI44	igvf_019	L004	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L005_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L005_R2_001.fastq.gz	Subpool_UDI44	igvf_019	L005	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L006_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L006_R2_001.fastq.gz	Subpool_UDI44	igvf_019	L006	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L007_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L007_R2_001.fastq.gz	Subpool_UDI44	igvf_019	L007	1	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L008_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_4_S4_L008_R2_001.fastq.gz	Subpool_UDI44	igvf_019	L008	1	200000	0.00005	67000
